标题,开发商,房子信息,发布信息,售价/万,单价
小区环境好，配套设施齐全，出行方便。,煤建五处康馨社区 -苏山头,3室1厅 | 86.24平米 | 南 | 简装 | 低楼层(共3层)  | 板塔结合,0人关注 / 9天以前发布,50,"5,798元/平"
西苑 民安园 低层 两室朝阳 下楼公园 老证 出门學校,西苑民安园 -西苑,2室1厅 | 71.89平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 6天以前发布,77.6,"10,795元/平"
精装修，集中供暖，视野开阔，采光充足,中梁蕴景嘉园 -火花,3室2厅 | 107.58平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 11天以前发布,106,"9,854元/平"
橡树湾，小三房，采光刺眼好房。,华润橡树湾 -绿地世纪城,3室1厅 | 94.77平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 10天以前发布,170,"17,939元/平"
卧室朝阳，视野好，交通便利，配套齐,万豪绿城中区 -蟠桃园,3室2厅 | 101.86平米 | 南 北 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 1个月以前发布,122,"11,978元/平"
位置好 中间楼层、房主诚心出售。看房方便,朱庄小区 -鼓楼广场,3室2厅 | 87.1平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 6个月以前发布,73,"8,382元/平"
食品城御景湾户型方正楼层好采光好2号地铁线 生活便利,苏商御景湾四期 -御景湾,3室2厅 | 106.61平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,7人关注 / 一年前发布,142,"13,320元/平"
民祥园一楼，诚心出售好楼层好位置,民祥园 -狮子山,2室2厅 | 67.8平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,19人关注 / 5个月以前发布,74,"10,915元/平"
苏宁悦城大三室边户老郑过户纯毛坯121平,苏宁悦城 -九里北三环,3室2厅 | 121.7平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,14人关注 / 4个月以前发布,131,"10,765元/平"
边户 户型好 精装修 地暖 中间楼层,荣盛城一期 -火花,3室2厅 | 134.1平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 8个月以前发布,161,"12,006元/平"
鼓楼晶典 中山路上，品质小区 地理优越,鼓楼晶典 -鼓楼广场,3室2厅 | 133平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,32人关注 / 11个月以前发布,228,"17,143元/平"
老证过户，户型通透，诚心出售，看房方便,和平壹号三期 -绿地世纪城,3室2厅 | 115.37平米 | 南 | 毛坯 | 低楼层(共23层)  | 板塔结合,0人关注 / 4个月以前发布,188,"16,296元/平"
少华小区低楼层 光荣。双阳台。种鳕区。,少华 -古彭,3室2厅 | 95.08平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,8人关注 / 5个月以前发布,112,"11,780元/平"
妇幼，四院，解放路，淮塔引洪小区,引洪小区 -中茵城,3室1厅 | 83.63平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,87,"10,403元/平"
此房户型方正，通透性较好，视野宽阔，采光充足，,绿地高铁东城三期 -大庙,3室1厅 | 86.53平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,1人关注 / 4个月以前发布,82,"9,477元/平"
有个平台 电梯房一梯一户  2008年上房   集中供暖,开元四季 -开元四季,3室2厅 | 98.49平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,5人关注 / 3个月以前发布,110,"11,169元/平"
毛坯随你改造，洋房户型方正采光好视野开阔，房主急售,保利合景珑湾 -高铁东站,3室2厅 | 115.94平米 | 南 | 毛坯 | 高楼层(共8层)  | 暂无数据,52人关注 / 5个月以前发布,172,"14,836元/平"
万科麓园洋房区，三室楼层好，老证过户，价格可谈,万科城麓园 -九里万科城,3室1厅 | 88.76平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,118,"13,295元/平"
自住精装，户型方正，业主外地置换，诚心出售,和平壹号三期 -绿地世纪城,3室2厅 | 93.83平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,159,"16,946元/平"
鼎瑞雅居电梯房 两梯三户 半精装未住 三室两厅有钥匙,鼎瑞雅居东区 -段庄,3室1厅 | 112.42平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,7人关注 / 2个月以前发布,119,"10,586元/平"
市区光荣巷 小 学隔壁明理街小区三楼四室两庭出售,明理小区 -古彭,4室2厅 | 134.6平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,169,"12,556元/平"
凯旋门 两室 边户 南北通透  中间楼层 有钥匙,华润绿地凯旋门 -铜沛路,2室1厅 | 86.95平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,2人关注 / 9个月以前发布,183,"21,047元/平"
花语城三室两卫 南 北通 透 视野好  一次没住 有钥匙,荣盛花语城二期 -御景湾,3室2厅 | 112.89平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,5人关注 / 4个月以前发布,142,"12,579元/平"
地铁口云龙华府美丽装修，拎包入住，楼层好。,云龙华府一期 -绿地世纪城,3室2厅 | 133.37平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,1人关注 / 3个月以前发布,258,"19,345元/平"
恒大滨河左岸一期 大三室 落地窗 环境优美,恒大滨河左岸一期 -翟山,3室2厅 | 123.78平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,2人关注 / 4个月以前发布,164,"13,250元/平"
万科翡翠天御 采光好  可过户 精装修,万科翡翠天御 -人民广场,3室2厅 | 124.18平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,355,"28,588元/平"
诚意出售，纯毛坯，中高楼层，环境优美，低密度住宅,绿地高铁东城三期 -大庙,3室2厅 | 102.94平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,94,"9,132元/平"
房东诚心出售此房通透格局，，适合自住 楼层好..,绿地高铁东城三期 -大庙,3室2厅 | 102.93平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,93,"9,036元/平"
恒大滨河左岸一期  经典小三室 可正常过户 全明落地窗,恒大滨河左岸一期 -翟山,3室2厅 | 90.37平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,1人关注 / 2个月以前发布,122,"13,501元/平"
丁万河、辛山公园 精装三室 采光好 一室一厅阳 老证,万科城 -九里万科城,3室1厅 | 92.97平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,4人关注 / 5个月以前发布,120,"12,908元/平"
云龙湖旁 风景好 经典户型 采光充足 视野好,开元四季五期 -开元四季,2室2厅 | 83.66平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,55人关注 / 一年前发布,88,"10,519元/平"
顶楼带阁楼+有车位+小区环境优美+居住舒适,永嘉金色雅筑B区 -绿地世纪城,2室2厅 | 85.34平米 | 北 南 | 简装 | 高楼层(共11层)  | 板楼,3人关注 / 4个月以前发布,130,"15,234元/平"
房主诚心售，精装修，附带阁楼，储藏室，集中供暖,锦绣滨湖 -下淀,3室2厅 | 92.3平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,2人关注 / 4个月以前发布,141,"15,277元/平"
视野采光无遮挡 交通便利 地铁口 房主诚心出售,绿城东方雅园 -高铁东站,4室2厅 | 106.3平米 | 西 | 毛坯 | 中楼层(共25层)  | 板塔结合,10人关注 / 4个月以前发布,180,"16,934元/平"
精装修，拎包即住。老证，抢手好房,中心名宅 -医科大学,2室2厅 | 93.32平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,4人关注 / 一年前发布,146,"15,646元/平"
汉源国际丽城2号地铁口112.94平三室通透精装未住诚心,汉源国际丽城 -工程学院,3室2厅 | 112.94平米 | 南 北 | 精装 | 中楼层(共22层)  | 板塔结合,4人关注 / 2个月以前发布,186,"16,469元/平"
地铁口，毛坯房，老证可过户，生活配套齐全。,绿地公园首府 -绿地商务城,3室2厅 | 135.76平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 板塔结合,14人关注 / 一年前发布,245,"18,047元/平"
恒大滨河左岸，次新小区，精装，配套成熟，交通便利。,恒大滨河左岸一期 -翟山,3室1厅 | 90.45平米 | 南 | 精装 | 中楼层(共22层)  | 暂无数据,1人关注 / 1个月以前发布,129,"14,263元/平"
新城区142平四室双地铁口毛坯诚意出售,绿地梵顿公馆 -绿地商务城,4室2厅 | 141.89平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,251,"17,690元/平"
新淮海路延长段，楼层好，全天采光无遮挡,雨润新城玉兰苑 -火花,3室1厅 | 122.78平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 10个月以前发布,121,"9,856元/平"
九里峰景二环北路植物园旁，带车位,九里峰景A区 -植物园,3室2厅 | 93.99平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 塔楼,5人关注 / 4个月以前发布,117,"12,449元/平"
万达旁 和平上东毛坯房 户型好 位置好,和平上东四期 -金龙湖,3室2厅 | 108.34平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2人关注 / 一年前发布,173,"15,969元/平"
诚意出售 总价低 刚需好房  方正三室,中锐星尚城 -工程学院,3室1厅 | 98.1平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,3人关注 / 2个月以前发布,121,"12,335元/平"
大平层 新城区二号线口的 单价15000出头 还想啥,汉源国际丽城 -工程学院,4室1厅 | 160.5平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,235,"14,642元/平"
地铁口 楼栋位置佳 采光好 双阳台 看房方便,万科尚都会 -黄山垅,3室2厅 | 126.09平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,8人关注 / 11个月以前发布,209,"16,576元/平"
御景湾毛坯顶楼复式有大地下室带车位打包出售位置好,苏商御景湾四期 -御景湾,3室2厅 | 110.63平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,4人关注 / 3个月以前发布,160,"14,463元/平"
精装修房子，楼层适中，集中供暖，,美的公园天下 -火花,3室2厅 | 97.67平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,6人关注 / 7个月以前发布,108,"11,058元/平"
徐矿城紫薇园暖气房大三室楼层好 有钥匙看房方便,徐矿城紫薇园 -九里万科城,3室2厅 | 118.58平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,4人关注 / 9个月以前发布,103,"8,687元/平"
房子一梯两户  两室朝阳  低楼层   看房方便,铜沛路99号 -铜沛路,2室1厅 | 70.51平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,4人关注 / 10个月以前发布,75,"10,637元/平"
房东急售，价格可谈..........,苏商御景湾一期 -御景湾,2室1厅 | 85.88平米 | 南 | 简装 | 高楼层(共10层)  | 板塔结合,7人关注 / 1个月以前发布,64,"7,453元/平"
美的乐城    户型好   三室毛坯   位置好  户型好,美的乐城 -下淀,3室1厅 | 107.2平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,18人关注 / 5个月以前发布,137,"12,780元/平"
矿山路鼎瑞雅居 三室 毛坯 好楼层 采光好公摊少,鼎瑞雅居 -段庄,3室2厅 | 110.85平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,26人关注 / 10个月以前发布,122,"11,006元/平"
荣盛城 精装修3室 南排 直观卧牛山公园 房主诚心出售,荣盛城一期 -火花,3室2厅 | 98.78平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,5人关注 / 9个月以前发布,116,"11,744元/平"
精装修，拎包即住。老证，抢手好房,中心名宅 -医科大学,2室2厅 | 93.32平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,4人关注 / 一年前发布,146,"15,646元/平"
此房格局设计合理，视野开阔，采光十足，此房格局..,绿地梵顿公馆 -绿地商务城,3室2厅 | 91.13平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,168,"18,436元/平"
万科悦庭 3室1厅 南 北,万科悦庭 -九里万科城,3室1厅 | 118.78平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,152,"12,797元/平"
7层 好户型 楼栋比较大，前后都是绿化花园,宝信润山 -泉山师大,3室2厅 | 99.02平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板塔结合,6人关注 / 一年前发布,117,"11,816元/平"
美的时代城  边户三室  老证过户  诚意出售,美的时代城 -铜山区,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,4人关注 / 6个月以前发布,110,"10,281元/平"
精装修房子，楼层适中，集中供暖，,美的公园天下 -火花,3室2厅 | 97.67平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,6人关注 / 7个月以前发布,108,"11,058元/平"
和平壹号 纯毛坯房全明户型采光无忧 地铁1号线,和平壹号四期 -绿地世纪城,3室1厅 | 105.31平米 | 南 | 毛坯 | 中楼层(共20层)  | 平房,1人关注 / 5个月以前发布,172,"16,333元/平"
电梯暖气房，好楼层带地下室，价格可谈。,文泰康城 -泉山师大,3室2厅 | 104.45平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,1人关注 / 3个月以前发布,118,"11,298元/平"
书香华府 二环路内 方便出行 集中供暖,书香华府 -西苑,3室2厅 | 91.41平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,1人关注 / 1个月以前发布,120,"13,128元/平"
西苑鑫苑景园洋房，精装带20+平南北露台，使用面积大,鑫苑景园 -西苑,3室2厅 | 126平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,8人关注 / 4个月以前发布,300,"23,810元/平"
电梯房，集中供暖，全明户型，两室朝阳，不容错过,天山绿洲一期 -儿童医院,3室2厅 | 152.25平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,4人关注 / 4个月以前发布,206,"13,531元/平"
徐矿城紫薇园暖气房大三室楼层好 有钥匙看房方便,徐矿城紫薇园 -九里万科城,3室2厅 | 118.58平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,4人关注 / 9个月以前发布,103,"8,687元/平"
政府旁地铁口大三室通透户型青年路,绿地海顿公馆 -绿地商务城,3室2厅 | 130.06平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 2个月以前发布,190,"14,609元/平"
地铁口，毛坯房，老证可过户，生活配套齐全。,绿地公园首府 -绿地商务城,3室2厅 | 135.76平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 板塔结合,14人关注 / 一年前发布,245,"18,047元/平"
荣盛城 精装修3室 南排 直观卧牛山公园 房主诚心出售,荣盛城一期 -火花,3室2厅 | 98.78平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,5人关注 / 9个月以前发布,116,"11,744元/平"
矿山路鼎瑞雅居 三室 毛坯 好楼层 采光好公摊少,鼎瑞雅居 -段庄,3室2厅 | 110.85平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,26人关注 / 10个月以前发布,122,"11,006元/平"
美的乐城    户型好   三室毛坯   位置好  户型好,美的乐城 -下淀,3室1厅 | 107.2平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,18人关注 / 5个月以前发布,137,"12,780元/平"
书香华府好房急售，精装三室，价格美丽！,书香华府 -西苑,3室1厅 | 102.94平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,133,"12,921元/平"
碧桂园物业管理好，小三室可贷款，精装拎包住,徐州碧桂园 -工程学院,3室2厅 | 103.55平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,2人关注 / 一年前发布,133.9,"12,931元/平"
精装 地铁口  环境优美  看房方便,中海熙岸华府 -火花,3室2厅 | 116.02平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,8人关注 / 5个月以前发布,163,"14,050元/平"
此房楼层好，全天采光，无遮挡，户型方正，视野好,中锐星尚城 -工程学院,3室2厅 | 98.11平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,1人关注 / 1个月以前发布,135,"13,761元/平"
精装大三室开放式厨房三阳台位置好随时看房,开元麓郡 -开元四季,3室1厅 | 142.97平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 3个月以前发布,155,"10,842元/平"
出门地铁杏山子站中海熙岸华府精装三室边户诚心出售,中海熙岸华府 -火花,3室2厅 | 99.23平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 2个月以前发布,148.5,"14,966元/平"
高品质小区 精装三室 中间楼层,滨湖御景湾 -御景湾,3室2厅 | 95.57平米 | 南 北 | 精装 | 中楼层(共15层)  | 板塔结合,1人关注 / 8个月以前发布,132,"13,812元/平"
醒狮一期十三光荣巷双额在可公积金,醒狮小区一期 -古彭,3室1厅 | 61.42平米 | 西 | 简装 | 中楼层(共7层)  | 板塔结合,2人关注 / 2个月以前发布,62,"10,095元/平"
此房户型方正，西明厅，两室朝阳，无面积浪费,城置国际花园城二期 -蟠桃园,3室2厅 | 120.58平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,10人关注 / 10个月以前发布,129,"10,699元/平"
楼层好无遮挡全天采光，配套齐全出行方便,美的公园天下 -火花,3室2厅 | 100.35平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,9人关注 / 一年前发布,108,"10,763元/平"
淮海路  万科物业  精装好楼层  南北通 诚心卖,万科淮海天地四街区 -段庄,3室2厅 | 95.88平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,165,"17,210元/平"
