c_area,decoration,greenland,open_date,has_short_video,gdp,metro,urban_district_population,urban_population,min_frame_area,bus,c_water_resources,is_cooperation,latitude,green_space_and_square,shopping,near_main_road,max_frame_rooms,big_block,region,longitude,urban_district_temporary_population,max_frame_area,biz,reference_unit_price
134.67,1,0,1297,1,2311.0,0,136.9,97.28,71,1,4260000,2,25.26,15.89,1,0,5,0,5,110.18,6.9,245,1,6000
134.67,1,0,1631,0,2311.0,0,136.9,97.28,103,1,4260000,0,25.25,15.89,0,1,4,0,5,110.33,6.9,141,1,11800
134.67,1,0,1671,0,2311.0,0,136.9,97.28,84,0,4260000,0,25.23,15.89,1,1,5,0,5,110.18,6.9,175,1,6300
134.67,1,0,870,0,2311.0,0,136.9,97.28,89,1,4260000,2,25.26,15.89,0,1,5,0,5,110.19,6.9,181,1,5800
369.0,1,0,1662,0,4711.03,0,262.9,219.5,119,0,534000,0,26.64,49.01,1,0,3,0,4,106.83,88.1,136,0,9500
369.0,1,0,948,0,4711.03,0,262.9,219.5,125,1,534000,0,26.68,49.01,0,0,4,0,4,106.62,88.1,164,0,11000
369.0,0,0,1601,0,4711.03,1,262.9,219.5,81,1,534000,0,26.66,49.01,1,0,3,0,4,106.62,88.1,100,0,11500
369.0,1,0,1387,0,4711.03,1,262.9,219.5,99,0,534000,2,26.65,49.01,1,0,4,0,4,106.61,88.1,266,0,10000
369.0,1,0,2361,0,4711.03,0,262.9,219.5,93,1,534000,0,26.61,49.01,0,0,3,0,4,106.67,88.1,126,0,9500
369.0,1,0,931,0,4711.03,0,262.9,219.5,76,0,534000,0,26.61,49.01,0,1,3,0,4,106.62,88.1,127,0,12000
369.0,1,0,1617,0,4711.03,0,262.9,219.5,108,1,534000,2,26.63,49.01,1,0,4,0,4,106.6,88.1,140,0,8800
369.0,1,0,1662,0,4711.03,0,262.9,219.5,124,0,534000,0,26.55,49.01,0,0,3,0,4,106.77,88.1,126,0,11300
369.0,1,0,1601,0,4711.03,0,262.9,219.5,79,1,534000,2,26.42,49.01,1,0,5,0,4,106.66,88.1,202,0,7500
369.0,1,0,1478,0,4711.03,0,262.9,219.5,81,1,534000,0,26.54,49.01,0,0,3,0,4,106.7,88.1,124,0,7500
272.66,0,0,3878,1,3121.43,1,149.0,149.0,52,0,92932,0,40.84,19.34,1,0,4,0,1,111.78,66.0,306,0,14000
272.66,0,0,2953,0,3121.43,0,149.0,149.0,137,0,92932,0,40.78,19.34,1,0,3,0,1,111.74,66.0,137,0,12800
272.66,1,0,1540,1,3121.43,0,149.0,149.0,80,1,92932,2,40.55,19.34,0,0,3,0,1,111.84,66.0,115,1,8700
272.66,1,0,3022,0,3121.43,1,149.0,149.0,96,1,92932,0,40.83,19.34,1,0,3,0,1,111.74,66.0,139,0,13000
272.66,1,0,3136,0,3121.43,0,149.0,149.0,120,0,92932,0,40.87,19.34,1,1,5,0,1,111.71,66.0,252,0,11500
272.66,1,0,4645,0,3121.43,0,149.0,149.0,356,1,92932,0,40.81,19.34,1,0,7,0,1,111.77,66.0,792,0,29000
801.63,0,1,116,0,18109.42,0,769.5,522.83,100,0,2188886,2,30.4,169.48,0,0,4,1,2,120.27,567.2,139,0,24000
801.63,0,1,110,0,18109.42,0,769.5,522.83,107,0,2188886,2,30.38,169.48,0,0,4,0,2,120.15,567.2,139,0,29500
801.63,0,1,116,0,18109.42,0,769.5,522.83,99,0,2188886,2,30.38,169.48,0,0,4,0,2,120.16,567.2,139,0,23600
801.63,0,0,175,0,18109.42,0,769.5,522.83,89,0,2188886,2,30.19,169.48,0,0,4,0,2,120.31,567.2,123,0,32000
801.63,0,0,106,0,18109.42,0,769.5,522.83,89,0,2188886,2,29.95,169.48,0,1,4,0,2,120.18,567.2,116,0,13000
801.63,0,0,1205,1,18109.42,0,769.5,522.83,42,1,2188886,1,30.33,169.48,0,1,2,0,2,120.11,567.2,64,0,24000
801.63,0,0,931,1,18109.42,0,769.5,522.83,45,0,2188886,2,30.35,169.48,1,0,4,0,2,120.22,567.2,73,0,31000
801.63,0,0,1510,1,18109.42,1,769.5,522.83,255,1,2188886,0,30.23,169.48,0,0,6,0,2,120.19,567.2,515,0,80000
801.63,0,0,1361,1,18109.42,1,769.5,522.83,36,1,2188886,2,30.3,169.48,1,0,3,0,2,120.25,567.2,59,0,40000
131.62,1,0,1676,0,3644.87,0,113.3,48.28,88,0,598459,0,30.71,26.74,1,0,6,0,2,120.44,69.8,176,1,9500
131.62,1,0,1358,0,3644.87,0,113.3,48.28,233,0,598459,0,30.61,26.74,1,0,5,0,2,119.71,69.8,233,1,15500
131.62,1,0,658,0,3644.87,0,113.3,48.28,47,1,598459,0,30.87,26.74,1,1,4,0,2,120.09,69.8,165,0,16000
131.62,1,0,1306,0,3644.87,0,113.3,48.28,122,0,598459,0,30.62,26.74,1,0,4,0,2,120.29,69.8,139,1,10500
