min_frame_area,max_frame_area,open_date,has_short_video,longitude,urban_district_population,gdp,urban_district_temporary_population,lowest_total_price,urban_population,max_frame_rooms,greenland,c_area,near_main_road,region,reference_highest_total_price,decoration,latitude,biz,shopping,metro,green_space_and_square,reference_lowest_total_price,reference_unit_price
80,115,1540,1,111.84,149.0,3121.43,66.0,730000,149.0,3,0,272.66,0,1,98.0,1,40.55,1,0,0,19.34,68.0,8700
96,139,3022,0,111.74,149.0,3121.43,66.0,1300000,149.0,3,0,272.66,0,1,180.0,1,40.83,0,1,1,19.34,74.0,13000
120,252,3136,0,111.71,149.0,3121.43,66.0,1500000,149.0,5,0,272.66,1,1,240.0,1,40.87,0,1,0,19.34,178.0,11500
356,792,4645,0,111.77,149.0,3121.43,66.0,16000000,149.0,7,0,272.66,0,1,2500.0,1,40.81,0,1,0,19.34,1600.0,29000
100,139,116,0,120.27,769.5,18109.42,567.2,2700000,522.83,4,1,801.63,0,2,334.0,0,30.4,0,0,0,169.48,247.0,24000
107,139,110,0,120.15,769.5,18109.42,567.2,3000000,522.83,4,1,801.63,0,2,410.0,0,30.38,0,0,0,169.48,315.0,29500
99,139,116,0,120.16,769.5,18109.42,567.2,2300000,522.83,4,1,801.63,0,2,330.0,0,30.38,0,0,0,169.48,230.0,23600
89,123,175,0,120.31,769.5,18109.42,567.2,2630000,522.83,4,0,801.63,0,2,335.0,0,30.19,0,0,0,169.48,295.0,32000
89,116,106,0,120.18,769.5,18109.42,567.2,1048900,522.83,4,0,801.63,1,2,150.0,0,29.95,0,0,0,169.48,116.0,13000
42,64,1205,1,120.11,769.5,18109.42,567.2,1050000,522.83,2,0,801.63,1,2,188.0,0,30.33,0,0,0,169.48,100.0,24000
45,73,931,1,120.22,769.5,18109.42,567.2,1350000,522.83,4,0,801.63,0,2,210.0,0,30.35,0,1,0,169.48,138.0,31000
